,orig_index,Comment,Tile,Trainer,geometry,group,subID
35,35,,CN_16,Sean,"POLYGON ((520100.7334975507 4517514.0989167765, 520101.3158680362 4517513.964635863, 520101.53772345925 4517513.373799841, 520101.20494032465 4517512.863532368, 520100.5393740555 4517512.890388551, 520100.17885899305 4517513.346943659, 520100.0679312816 4517513.991492045, 520100.7334975507 4517514.0989167765))",random,4
36,36,,CN_16,Sean,"POLYGON ((520080.184138991 4517513.830354951, 520080.6001179092 4517512.890388553, 520080.1286751352 4517512.138415435, 520079.35218115454 4517512.111559252, 520078.8252745248 4517512.353264897, 520078.7420787412 4517513.346943661, 520079.241253443 4517514.018348231, 520080.184138991 4517513.830354951))",random,5
37,37,,CN_16,Sean,"POLYGON ((520089.6407263983 4517507.358014898, 520090.2508288117 4517507.223733985, 520090.4449523069 4517506.444904684, 520089.94577760505 4517505.961493393, 520089.4466029032 4517505.773500114, 520088.9474282013 4517506.2837675875, 520088.9474282013 4517507.08945307, 520089.6407263983 4517507.358014898))",random,6
38,38,,22W_15,Sean,"POLYGON ((519789.8730364777 4518015.991617658, 519790.51737400674 4518015.907281813, 519790.65744738263 4518015.12014726, 519790.237227255 4518014.7546919305, 519789.7329631018 4518014.895251673, 519789.64891907625 4518015.345042846, 519789.8730364777 4518015.991617658))",random,0
39,39,,29-30_28,Sean,"POLYGON ((525158.7365087514 4516400.779677486, 525159.2749621054 4516400.56317637, 525159.4194252004 4516400.021923579, 525158.9597698982 4516399.886610382, 525158.5132476046 4516399.967798301, 525158.316252475 4516400.536113731, 525158.7365087514 4516400.779677486))",random,0
40,40,,CN_30,Sean,"POLYGON ((519294.6759581319 4517016.475583761, 519295.37629802135 4517016.058153609, 519295.5723931904 4517015.167635951, 519295.5723931904 4517014.583233739, 519294.84403970535 4517014.193632264, 519294.5639037496 4517014.249289618, 519293.7795230734 4517014.83369183, 519293.3593191397 4517015.891181548, 519293.80753666896 4517016.336440377, 519294.6759581319 4517016.475583761))",random,0
41,41,,CN_30,Sean,"POLYGON ((519292.1827481254 4517007.486921158, 519292.7150064414 4517007.097319682, 519292.6869928458 4517006.485088793, 519292.1827481254 4517005.956343934, 519291.59446261823 4517006.039829964, 519291.4263810448 4517006.5964035, 519291.4263810448 4517007.236463066, 519292.1827481254 4517007.486921158))",random,1
42,42,,CN_30,Sean,"POLYGON ((519306.60974984843 4517005.149312307, 519307.1139945688 4517004.982340246, 519307.4781713113 4517004.370109357, 519307.1420081644 4517003.702221114, 519306.4416682749 4517003.8970218515, 519306.16153231915 4517004.230965973, 519306.02146434126 4517004.731882155, 519306.60974984843 4517005.149312307))",random,2
43,43,,CN_30,Sean,"POLYGON ((519303.0520232099 4517018.006160984, 519303.8644174817 4517017.700045539, 519303.7243495038 4517016.948671266, 519303.30414557015 4517016.726041852, 519302.85592804087 4517016.948671266, 519302.68784646736 4517017.755702893, 519303.0520232099 4517018.006160984))",random,3
44,44,,CN_30,Sean,"POLYGON ((519309.85932693555 4517009.935844713, 519310.72774839844 4517009.796701329, 519311.28802031005 4517009.2401277935, 519311.0358979498 4517008.794868965, 519310.4756260383 4517008.40526749, 519309.85932693555 4517008.460924843, 519309.5231637886 4517009.518414562, 519309.85932693555 4517009.935844713))",random,4
45,45,,CN_30,Sean,"POLYGON ((519312.04438739066 4517011.243792523, 519312.688700089 4517011.160306492, 519313.10890402267 4517010.909848401, 519313.16493121383 4517010.297617512, 519312.688700089 4517009.685386622, 519312.156441773 4517009.657557946, 519311.624183457 4517010.492418249, 519312.04438739066 4517011.243792523))",random,5
46,46,,CN_30,Sean,"POLYGON ((519318.48751437373 4517003.006504192, 519319.3559358367 4517002.923018162, 519319.77613977034 4517002.338615949, 519319.467990219 4517001.782042414, 519318.73963673395 4517001.615070353, 519318.37545999145 4517001.754213736, 519317.9272424622 4517002.644731394, 519318.48751437373 4517003.006504192))",random,6
47,47,,CN_30,Sean,"POLYGON ((519319.01977268973 4517001.503755646, 519319.1598406676 4517000.8080387255, 519318.48751437373 4517000.557580635, 519317.81518807984 4517000.585409312, 519317.7871744843 4517001.336783585, 519317.9552560577 4517001.809871091, 519318.65559594723 4517001.949014475, 519319.01977268973 4517001.503755646))",random,7
48,48,,CN_30,Sean,"POLYGON ((519314.3415022281 4516992.765551133, 519314.7897197574 4516992.348120982, 519314.6216381839 4516991.791547446, 519314.00533908117 4516991.596746708, 519313.417053574 4516991.763718769, 519313.2769855961 4516992.208977598, 519313.64116233867 4516992.765551133, 519314.3415022281 4516992.765551133))",random,8
49,49,,CN_30,Sean,"POLYGON ((519311.5681562658 4517001.475926969, 519311.11993873655 4517001.002839464, 519310.36357165594 4517001.281126231, 519310.1954900825 4517001.865528444, 519310.6437076117 4517002.42210198, 519311.42808828794 4517002.561245364, 519311.5681562658 4517001.475926969))",random,9
50,50,,CN_30,Sean,"POLYGON ((519295.2082164479 4516994.212642326, 519295.76848835946 4516993.906526881, 519295.9645835285 4516993.349953345, 519295.4323252125 4516992.96035187, 519294.84403970535 4516993.294295992, 519294.7319853231 4516993.990012911, 519295.2082164479 4516994.212642326))",random,10
51,51,,CN_30,Sean,"POLYGON ((519302.1275745558 4516994.602243801, 519302.7999008497 4516994.797044538, 519303.27613197453 4516994.657901155, 519303.7243495038 4516993.683897466, 519303.36017276125 4516993.127323931, 519302.77188725414 4516993.127323931, 519301.95949298237 4516993.57258276, 519302.1275745558 4516994.602243801))",random,11
52,52,,22E_2,Sean,"POLYGON ((520219.05805431574 4518994.863075846, 520219.53279069037 4518994.462662953, 520219.651474784 4518993.576034404, 520219.3547645499 4518993.318626116, 520218.70200203476 4518993.318626116, 520218.16792361334 4518993.74763993, 520218.3162787304 4518994.548465716, 520219.05805431574 4518994.863075846))",random,0
53,53,,22E_2,Sean,"POLYGON ((520228.671465902 4518993.690438088, 520229.2352153469 4518993.375827958, 520229.41324148735 4518992.689405856, 520229.17587330006 4518992.260392042, 520228.4044266913 4518992.2031902, 520228.10771645716 4518992.718006777, 520228.1967295274 4518993.232823353, 520228.671465902 4518993.690438088))",random,1
54,54,,22E_2,Sean,"POLYGON ((520232.9737642971 4518985.396171019, 520233.50784271857 4518985.11016181, 520233.56718476536 4518984.309336024, 520233.09244839073 4518983.966124973, 520232.2616597352 4518983.966124973, 520232.02429154783 4518984.48094155, 520232.23198871175 4518985.167363652, 520232.9737642971 4518985.396171019))",random,2
55,55,,22E_2,Sean,"POLYGON ((520215.9722678806 4518978.274541708, 520216.56568834896 4518978.017133419, 520216.56568834896 4518977.359312238, 520215.79424174014 4518977.216307634, 520215.4678604826 4518977.702523289, 520215.7052286699 4518978.160138024, 520215.9722678806 4518978.274541708))",random,3
56,56,,22E_2,Sean,"POLYGON ((520226.03074481816 4518983.422707476, 520226.950546544 4518983.537111159, 520227.0098885908 4518982.793487215, 520226.5648232396 4518982.33587248, 520226.1790999352 4518982.536078927, 520225.46699537325 4518982.993693662, 520226.03074481816 4518983.422707476))",random,4
57,57,,22W_1,Sean,"POLYGON ((519327.51834800444 4518680.079805943, 519328.1014893578 4518679.744010452, 519328.1792415383 4518678.923177031, 519327.6738523653 4518678.73662398, 519327.12958710216 4518679.035108861, 519326.97408274125 4518679.706699843, 519327.51834800444 4518680.079805943))",random,0
58,58,,5W_3,Sean,"POLYGON ((525715.6623293962 4523705.7282986, 525716.2279667357 4523705.480017469, 525716.2593910323 4523704.704138938, 525715.599480803 4523704.486892949, 525715.2852378367 4523704.7662092205, 525715.4423593198 4523705.417947187, 525715.6623293962 4523705.7282986))",random,0
59,59,,CN_0,Sean,"POLYGON ((520237.4314978556 4517319.318322419, 520238.20469373534 4517319.153871228, 520238.7127938849 4517318.537179262, 520238.6244286415 4517317.920487296, 520238.0058719377 4517317.529915717, 520237.2547673688 4517317.632697712, 520236.7687585301 4517318.187720481, 520236.9013063952 4517319.174427627, 520237.4314978556 4517319.318322419))",random,0
60,60,,CN_0,Sean,"POLYGON ((520224.6615951635 4517312.993518196, 520225.0825573647 4517312.797661396, 520225.3982790156 4517312.210090995, 520224.9773168144 4517311.883662994, 520224.69667534693 4517311.785734594, 520224.38095369603 4517312.1774481945, 520224.24063296226 4517312.634447396, 520224.6615951635 4517312.993518196))",random,1
61,61,,22W_3,Sean,"POLYGON ((519322.54780382535 4519418.857794987, 519322.9069691317 4519418.8046789905, 519323.2108782371 4519418.353193025, 519323.0451096342 4519417.875149061, 519322.54780382535 4519417.6892430745, 519321.9952418155 4519417.901707059, 519322.1057542175 4519418.645331003, 519322.54780382535 4519418.857794987))",random,0
62,62,,22W_3,Sean,"POLYGON ((519340.36792864185 4519421.593268781, 519340.8376063502 4519421.593268781, 519341.11388735514 4519421.141782815, 519341.2243997571 4519420.769970843, 519341.03100305365 4519420.477832865, 519340.42318484286 4519420.398158871, 519340.0640195365 4519421.088666819, 519340.36792864185 4519421.593268781))",random,1
63,63,,22W_3,Sean,"POLYGON ((519343.2688791934 4519409.721843672, 519343.65567260026 4519409.61561168, 519343.82144120324 4519408.978219727, 519343.65567260026 4519408.606407755, 519343.1859948919 4519408.632965754, 519342.909713887 4519408.925103731, 519342.9373419875 4519409.5359376855, 519343.2688791934 4519409.721843672))",random,2
64,64,,22W_3,Sean,"POLYGON ((519338.1300525021 4519402.365278225, 519338.461589708 4519402.338720228, 519338.627358311 4519401.727886273, 519338.1853087031 4519401.409190297, 519337.8537714972 4519401.409190297, 519337.5774904923 4519402.205930237, 519338.1300525021 4519402.365278225))",random,3
65,65,,22W_3,Sean,"POLYGON ((519348.3248215832 4519402.259046233, 519348.987895995 4519402.126256243, 519349.2089207989 4519401.409190297, 519348.8497554925 4519401.090494321, 519348.4629620857 4519400.771798344, 519347.9932843773 4519401.223284311, 519347.91040007584 4519402.020024251, 519348.3248215832 4519402.259046233))",random,4
66,66,,22W_3,Sean,"POLYGON ((519351.11525973276 4519405.977165954, 519351.6678217426 4519406.348977926, 519352.2480118529 4519406.163071941, 519352.38615235535 4519405.738143972, 519352.2756399534 4519405.180426014, 519352.026987049 4519404.755498046, 519351.44679693866 4519404.782056044, 519350.8113506274 4519405.339774002, 519351.11525973276 4519405.977165954))",random,5
67,67,,22W_3,Sean,"POLYGON ((519334.3726308354 4519405.76470197, 519334.9528209457 4519405.021078026, 519335.1462176491 4519404.383686074, 519334.59365563927 4519403.9587581055, 519334.0410936295 4519404.118106093, 519333.82006882556 4519404.675824052, 519333.82006882556 4519405.392889998, 519334.3726308354 4519405.76470197))",random,6
68,68,,22W_3,Sean,"POLYGON ((519341.3349121591 4519394.530668815, 519342.3295237767 4519394.716574801, 519342.6610609826 4519394.291646833, 519342.7715733846 4519393.707370876, 519342.0256146713 4519393.601138884, 519341.3349121591 4519393.8136028685, 519341.3349121591 4519394.530668815))",random,7
69,69,,22W_3,Sean,"POLYGON ((519349.40231750236 4519402.312162231, 519350.09302001464 4519402.391836225, 519350.507441522 4519401.993466254, 519350.28641671804 4519401.462306295, 519349.8167390097 4519401.196726315, 519349.2089207989 4519401.648212281, 519349.40231750236 4519402.312162231))",random,8
70,70,,22W_3,Sean,"POLYGON ((519327.1064404063 4519397.93009256, 519327.6866305166 4519397.956650558, 519328.07342392346 4519397.611396585, 519327.7971429186 4519397.080236624, 519327.1616966073 4519397.053678626, 519326.88541560236 4519397.558280588, 519327.1064404063 4519397.93009256))",random,9
71,71,,22W_4,Sean,"POLYGON ((519896.7987067401 4518937.894242372, 519897.16925404564 4518938.297379163, 519897.8533413789 4518938.239788193, 519897.9958595733 4518937.865446888, 519898.02436321223 4518937.260741702, 519897.53980135114 4518936.915195882, 519896.9697285734 4518937.116764277, 519896.7987067401 4518937.894242372))",random,0
72,72,,22W_4,Sean,"POLYGON ((519898.9649832955 4518930.148256903, 519899.4780487954 4518930.119461418, 519899.7345815454 4518929.485960747, 519899.4780487954 4518928.823664592, 519898.9079760177 4518928.679687167, 519898.2808959622 4518929.399574293, 519898.62293962884 4518930.033074963, 519898.9649832955 4518930.148256903))",random,1
73,73,,22W_4,Sean,"POLYGON ((519907.51607496146 4518932.394304735, 519908.2571695725 4518931.991167944, 519908.42819140584 4518931.069712424, 519907.77260771143 4518930.810553058, 519907.2025349337 4518930.925734999, 519906.8319876282 4518931.386462758, 519907.06001673924 4518931.933576974, 519907.51607496146 4518932.394304735))",random,2
74,74,,22W_4,Sean,"POLYGON ((519920.45672701596 4518939.362812107, 519921.0838070715 4518939.420403077, 519921.53986529366 4518939.132448227, 519921.5113616548 4518938.556538527, 519921.0267997937 4518938.095810767, 519920.3712160993 4518937.865446887, 519920.1716906271 4518938.873288862, 519920.45672701596 4518939.362812107))",random,3
75,75,,22W_4,Sean,"POLYGON ((519909.3118042113 4518921.365633973, 519910.10990610014 4518921.308043003, 519910.394942489 4518920.962497183, 519910.48045340565 4518920.271405542, 519910.10990610014 4518920.098632633, 519909.45432240574 4518920.156223603, 519909.08377510024 4518920.674542333, 519909.3118042113 4518921.365633973))",random,4
76,76,,22W_4,Sean,"POLYGON ((519920.1431869882 4518919.119586142, 519920.71325976594 4518919.148381627, 519921.2548289048 4518919.004404202, 519921.197821627 4518918.111744166, 519920.71325976594 4518917.852584802, 519920.22869790485 4518917.938971256, 519919.80114332156 4518918.313312561, 519919.8866542382 4518918.802835807, 519920.1431869882 4518919.119586142))",random,5
77,77,,22W_4,Sean,"POLYGON ((519900.90323073976 4518921.595997853, 519901.5303107953 4518921.624793339, 519901.98636901745 4518921.365633973, 519902.100383573 4518920.789724273, 519901.9578653786 4518919.983450692, 519901.50180715637 4518919.695495842, 519900.9317343786 4518919.753086813, 519900.4186688787 4518920.300201028, 519900.47567615646 4518921.106474608, 519900.90323073976 4518921.595997853))",random,6
78,78,,5W_1,Sean,"POLYGON ((526279.3896051323 4524048.542484935, 526279.7914080583 4524048.31452305, 526279.8488084762 4524047.687627865, 526279.9349091033 4524047.260199329, 526279.3322047142 4524047.032237443, 526278.7295003252 4524047.402675508, 526278.4137980262 4524048.257532579, 526278.7582005342 4524048.5139897, 526279.3896051323 4524048.542484935))",random,0
79,79,,22E_1,Sean,"POLYGON ((520163.9250302937 4518701.6815912835, 520164.56650809175 4518701.6815912835, 520164.9636133953 4518701.3701914605, 520164.9941599571 4518700.888937189, 520164.53596152994 4518700.492610142, 520163.8639371701 4518700.690773666, 520163.52792499017 4518701.2286460865, 520163.9250302937 4518701.6815912835))",random,0
80,80,,22E_1,Sean,"POLYGON ((520155.4025395487 4518700.549228292, 520155.92183109943 4518700.039664946, 520155.61636548134 4518699.530101599, 520154.7305151888 4518699.473483449, 520154.547235818 4518700.06797402, 520154.79160831246 4518700.690773666, 520155.4025395487 4518700.549228292))",random,1
81,81,,22E_1,Sean,"POLYGON ((520170.1259823412 4518681.7236935515, 520170.6758204538 4518681.100893905, 520170.4314479593 4518680.223312587, 520169.27067861054 4518680.3648579605, 520169.39286485774 4518681.468911878, 520170.1259823412 4518681.7236935515))",random,2
82,82,,22E_1,Sean,"POLYGON ((520184.7577854483 4518685.4888005, 520185.3381701227 4518685.800200322, 520186.1629272916 4518685.856818472, 520186.2851135388 4518685.3189460505, 520186.1629272916 4518684.582910106, 520185.39926324633 4518684.413055657, 520184.60505263926 4518684.328128433, 520184.39122670656 4518685.064164378, 520184.7577854483 4518685.4888005))",random,3
83,83,,22E_1,Sean,"POLYGON ((520179.7176027496 4518682.969292842, 520180.450720233 4518683.110838217, 520181.06165146927 4518682.431420421, 520180.5423599185 4518682.035093374, 520180.0536149295 4518681.610457252, 520179.6259630642 4518681.95016615, 520179.32049744605 4518682.714511169, 520179.7176027496 4518682.969292842))",random,4
84,84,,22E_1,Sean,"POLYGON ((520155.188713616 4518686.649472565, 520155.92183109943 4518686.338072742, 520155.92183109943 4518685.602036797, 520155.28035330144 4518685.2623279, 520154.6083289416 4518685.403873274, 520154.45559613255 4518685.941745696, 520154.76106175064 4518686.564545341, 520155.188713616 4518686.649472565))",random,5
85,85,,CN_21,Sean,"POLYGON ((520229.8813589342 4517020.400886734, 520230.5609235451 4517020.427255865, 520231.013966619 4517019.9262423795, 520230.8440754663 4517019.583443679, 520230.2494564318 4517019.477967156, 520229.7964133579 4517019.847134987, 520229.8813589342 4517020.400886734))",random,0
86,86,,CN_21,Sean,"POLYGON ((520225.039461082 4517013.70312751, 520225.6907105007 4517013.834973164, 520226.2570143431 4517013.465805332, 520225.91723203764 4517012.912053586, 520225.5774497322 4517012.912053586, 520225.039461082 4517013.175744894, 520225.039461082 4517013.70312751))",random,1
